ProcessId Name                                     StartMode State   Status ExitCode
--------- ----                                     --------- -----   ------ --------
1508      ProfSvc                                  Auto      Running OK     0
0         PushToInstall                            Manual    Stopped OK     0
0         QWAVE                                    Manual    Stopped OK     1077
0         RasAuto                                  Manual    Stopped OK     1077
7784      RasMan                                   Manual    Running OK     0
0         refsdedupsvc                             Manual    Stopped OK     1077
0         RetailDemo                               Manual    Stopped OK     1077
4908      RmSvc                                    Manual    Running OK     0
480       RpcEptMapper                             Auto      Running OK     0
0         RpcLocator                               Manual    Stopped OK     1077
480       RpcSs                                    Auto      Running OK     0
808       SamSs                                    Auto      Running OK     0
0         SCardSvr                                 Manual    Stopped OK     1077
0         ScDeviceEnum                             Manual    Stopped OK     1077
1500      Schedule                                 Auto      Running OK     0
0         SCPolicySvc                              Manual    Stopped OK     1077
0         SDRSVC                                   Manual    Stopped OK     1077
0         seclogon                                 Manual    Stopped OK     1077
6068      SecurityHealthService                    Manual    Running OK     0
0         SEMgrSvc                                 Manual    Stopped OK     1077
2544      SENS                                     Auto      Running OK     0
0         SensorDataService                        Manual    Stopped OK     1077
0         SensorService                            Manual    Stopped OK     1077
0         SensrSvc                                 Manual    Stopped OK     1077
0         SessionEnv                               Manual    Stopped OK     1077
0         SharedAccess                             Manual    Stopped OK     1077
2884      ShellHWDetection                         Auto      Running OK     0
0         smphost                                  Manual    Stopped OK     0
0         SmsRouter                                Manual    Stopped OK     1077
0         SNMPTrap                                 Manual    Stopped OK     1077
0         sppsvc                                   Auto      Stopped OK     0
4200      SSDPSRV                                  Manual    Running OK     0
8040      SstpSvc                                  Manual    Running OK     0
2368      StateRepository                          Auto      Running OK     0
0         StiSvc                                   Manual    Stopped OK     1077
6108      StorSvc                                  Auto      Running OK     0
0         svsvc                                    Manual    Stopped OK     1077
0         swprv                                    Manual    Stopped OK     1077
2324      SysMain                                  Auto      Running OK     0
996       SystemEventsBroker                       Auto      Running OK     0
0         TapiSrv                                  Manual    Stopped OK     1077
0         TermService                              Manual    Stopped OK     1077
2696      TextInputManagementService               Auto      Running OK     0
2336      Themes                                   Auto      Running OK     0
0         TieringEngineService                     Manual    Stopped OK     1077
1256      TimeBrokerSvc                            Manual    Running OK     0
4004      TokenBroker                              Manual    Running OK     0
3300      TrkWks                                   Auto      Running OK     0
0         TroubleshootingSvc                       Manual    Stopped OK     1077
4628      TrustedInstaller                         Auto      Running OK     0
0         UmRdpService                             Manual    Stopped OK     1077
0         upnphost                                 Manual    Stopped OK     1077
1692      UserManager                              Auto      Running OK     0
7680      UsoSvc                                   Auto      Running OK     0
808       VaultSvc                                 Manual    Running OK     0
1292      VBoxService                              Auto      Running OK     0
0         vds                                      Manual    Stopped OK     1077
0         vmicguestinterface                       Manual    Stopped OK     1077
0         vmicheartbeat                            Manual    Stopped OK     1077
0         vmickvpexchange                          Manual    Stopped OK     1077
0         vmicrdv                                  Manual    Stopped OK     1077
0         vmicshutdown                             Manual    Stopped OK     1077
0         vmictimesync                             Manual    Stopped OK     1077
0         vmicvmsession                            Manual    Stopped OK     1077
0         vmicvss                                  Manual    Stopped OK     1077
0         VSS                                      Manual    Stopped OK     1077
0         W32Time                                  Auto      Stopped OK     0
0         WaaSMedicSvc                             Manual    Stopped OK     0
0         WalletService                            Manual    Stopped OK     1077
0         WarpJITSvc                               Manual    Stopped OK     1077
0         wbengine                                 Manual    Stopped OK     1077
0         WbioSrvc                                 Manual    Stopped OK     0
2784      Wcmsvc                                   Auto      Running OK     0
0         wcncsvc                                  Manual    Stopped OK     1077
0         WdiServiceHost                           Manual    Stopped OK     1077
6308      WdiSystemHost                            Manual    Running OK     0
1884      WdNisSvc                                 Manual    Running OK     0
0         WebClient                                Manual    Stopped OK     1077
0         webthreatdefsvc                          Manual    Stopped OK     1077
0         Wecsvc                                   Manual    Stopped OK     1077
0         WEPHOSTSVC                               Manual    Stopped OK     1077
0         wercplsupport                            Manual    Stopped OK     1077
0         WerSvc                                   Manual    Stopped OK     0
0         WFDSConMgrSvc                            Manual    Stopped OK     1077
6164      whesvc                                   Auto      Running OK     0
0         WiaRpc                                   Manual    Stopped OK     1077
3448      WinDefend                                Auto      Running OK     0
2400      WinHttpAutoProxySvc                      Manual    Running OK     0
3312      Winmgmt                                  Auto      Running OK     0
0         WinRM                                    Manual    Stopped OK     1077
0         wisvc                                    Manual    Stopped OK     0
0         WlanSvc                                  Manual    Stopped OK     1077
1240      wlidsvc                                  Manual    Running OK     0
0         wlpasvc                                  Manual    Stopped OK     1077
0         WManSvc                                  Manual    Stopped OK     1077
0         wmiApSrv                                 Manual    Stopped OK     1077
0         WMPNetworkSvc                            Manual    Stopped OK     1077
0         workfolderssvc                           Manual    Stopped OK     1077
0         WpcMonSvc                                Manual    Stopped OK     1077
0         WPDBusEnum                               Manual    Stopped OK     0
3348      WpnService                               Auto      Running OK     0
3376      WSAIFabricSvc                            Auto      Running OK     0
4432      wscsvc                                   Auto      Running OK     0
5588      WSearch                                  Auto      Running OK     0
4340      wuauserv                                 Manual    Running OK     0
0         wuqisvc                                  Manual    Stopped OK     1077
0         WwanSvc                                  Manual    Stopped OK     1077
0         XblAuthManager                           Manual    Stopped OK     1077
0         XblGameSave                              Manual    Stopped OK     1077
0         XboxGipSvc                               Manual    Stopped OK     1077
0         XboxNetApiSvc                            Manual    Stopped OK     1077
0         AarSvc_55593                             Manual    Stopped OK     1077
0         BcastDVRUserService_55593                Manual    Stopped OK     0
0         BluetoothUserService_55593               Manual    Stopped OK     1077
0         CaptureService_55593                     Manual    Stopped OK     1077
2364      cbdhsvc_55593                            Auto      Running OK     0
4308      CDPUserSvc_55593                         Auto      Running OK     0
0         CloudBackupRestoreSvc_55593              Manual    Stopped OK     1077
0         ConsentUxUserSvc_55593                   Manual    Stopped OK     1077
0         CredentialEnrollmentManagerUserSvc_55593 Manual    Stopped OK     1077
0         DeviceAssociationBrokerSvc_55593         Manual    Stopped OK     1077
0         DevicePickerUserSvc_55593                Manual    Stopped OK     1077
0         DevicesFlowUserSvc_55593                 Manual    Stopped OK     1077
0         MessagingService_55593                   Manual    Stopped OK     1077
0         NPSMSvc_55593                            Manual    Stopped OK     1077
4904      OneSyncSvc_55593                         Auto      Running OK     0
0         P9RdrService_55593                       Manual    Stopped OK     1077
0         PenService_55593                         Manual    Stopped OK     1077
0         PimIndexMaintenanceSvc_55593             Manual    Stopped OK     1077
0         PrintWorkflowUserSvc_55593               Manual    Stopped OK     1077
5540      UdkUserSvc_55593                         Manual    Running OK     0
0         UnistoreSvc_55593                        Manual    Stopped OK     1077
0         UserDataSvc_55593                        Manual    Stopped OK     1077
2300      webthreatdefusersvc_55593                Auto      Running OK     0
2852      WpnUserService_55593                     Auto      Running OK     0
